"","category_revision2","operationalisation","bibtexkey","author","title","year","category"
"249","concernedAbout"," ""I think of myself as a person who is very concerned with the care of his clothes"" ","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","concernedAbout"
"279","concernedAbout"," “I think of myself as someone who is very concerned with environmental issues in dining”","wang2016psychological","Wang, Yao-Fen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","concernedAbout"
"286","concernedAbout"," ‘‘I think of myself as someone who is concerned about the health consequences of what I eat","carfora2016explaining","Carfora, Valentina","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach","2016","concernedAbout"
"302","concernedAbout"," “I think of myself as someone who is very concerned about water issues"" ","yazdanpanah2011investigating","Yazdanpanah, Masoud and Hayati, Dariush and Zamani, Gholam Hossein","INVESTIGATING AGRICULTURAL PROFESSIONALS’INTENTIONS AND BEHAVIOURS TOWARDS WATER CONSERVATION: USING A MODIFIED THEORY OF PLANNED BEHAVIOUR","2011","concernedAbout"
"333","concernedAbout"," I am very concerned with philanthropy. ","dennis2009nature","Dennis, Bryan S and Buchholtz, Ann K and Butts, Marcus M","The nature of giving: A theory of planned behavior examination of corporate philanthropy","2009","concernedAbout"
"340","concernedAbout","I think of myself as a person who is concerned about using microcredits ","jebarajakirthy2014war","Jebarajakirthy, Charles and Lobo, Antonio C","War affected youth as consumers of microcredit: an application and extension of the theory of planned behaviour","2014","concernedAbout"
"17","considerMyself"," ‘‘I see myself as a safe metro passenger”","NA","Wan, Xin and Schonfeld, Paul M. and Li, Qiming","What factors determine metro passengers’ risky riding behavior? An approach based on an extended theory of planned behavior.","2016/10//","considerMyself"
"59","considerMyself","‘I see myself as a safe motorcyclist’","NA","Chorlton, Kathryn and Conner, Mark and Jamson, Samantha","Identifying the psychological determinants of risky riding: An application of an extended Theory of Planned Behaviour.","2012/11//","considerMyself"
"62","considerMyself"," whether they saw themselves as someone who engaged in sufficient exercise ","NA","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012/11//","considerMyself"
"68","considerMyself"," I see myself as a person who...(...drink[ing] more than 8 units on one occasion...) ","NA","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012/09//","considerMyself"
"72","considerMyself"," ‘‘I see myself as someone who engages in sufficient exercise’’ ","NA","de Bruijn, Gert-Jan and van den Putte, Bas","Exercise promotion: An integration of exercise self-identity, beliefs, intention, and behaviour.","2012/07//","considerMyself"
"80","considerMyself"," ‘I see myself as a person who smokes’ ","NA","Hassandra, Mary and Vlachopoulos, Symeon P. and Kosmidou, Evdoxia and Hatzigeorgiadis, Antonis and Goudas, Marios and Theodorakis, Yiannis","Predicting students’ intention to smoke by theory of planned behaviour variables and parental influences across school grade levels.","2011/09//","considerMyself"
"92","considerMyself","I consider myself as a person who smokes ","NA","Høie, Magnhild and Moan, Inger Synnøve and Rise, Jostein","An extended version of the theory of planned behavour: Prediction of intentions to quit smoking using past behaviour as moderator.","2010/10//","considerMyself"
"124","considerMyself","“I consider myself a typical buyer of my preferred soft drink” ","NA","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jaqueline","The attitude-behavior relationship in consumer conduct: The role of norms, past behavior, and self-identity.","2008/06//","considerMyself"
"125","considerMyself"," “I see myself as a typical buyer of my preferred soft drink.”","NA","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jaqueline","The attitude-behavior relationship in consumer conduct: The role of norms, past behavior, and self-identity.","2008/06//","considerMyself"
"127","considerMyself","“I consider myself as a typical buyer of my preferred beer” ","NA","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jacqueline","Interaction effects in the theory of planned behavior: The interplay of self-identity and past behavior.","2007/11//","considerMyself"
"128","considerMyself"," “I see myself as a typical buyer of my preferred beer”).","NA","Smith, Joanne R. and Terry, Deborah J. and Manstead, Antony S. R. and Louis, Winnifred R. and Kotterman, Diana and Wolfs, Jacqueline","Interaction effects in the theory of planned behavior: The interplay of self-identity and past behavior.","2007/11//","considerMyself"
"186","considerMyself"," “Would you class yourself as . . . a nondrinker, a light drinker, a moderate drinker, or a heavy drinker?”","NA","Conner, Mark and Warren, Rachel and Close, Stephen and Sparks, Paul","Alcohol consumption and the theory of planned behavior: An examination of the cognitive mediation of past behavior.","1999/08//","considerMyself"
"207","considerMyself","'Generally, do you consider yourself to be a 'safety conscious' pedestrian'","NA","Evans, Daphne and Norman, Paul","Understanding pedestrians' road crossing decisions: An application of the theory of planned behaviour.","1998/12//","considerMyself"
"233","considerMyself","“I see myself to be a healthy eater” ","brouwer2015expanding","Brouwer, Amanda M and Mosack, Katie E","Expanding the theory of planned behavior to predict healthy eating behaviors: Exploring a healthy eater identity","2015","considerMyself"
"244","considerMyself"," I consider myself a typical user of dietary supplements ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","considerMyself"
"245","considerMyself"," I see myself as a typical user of dietary supplements","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","considerMyself"
"271","considerMyself","‘I see myself as sporty’ ","jackson2003applying","Jackson, Cath and Smith, Andrew and Conner, Mark","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"272","considerMyself"," ‘I see myself as fit and healthy’ ","jackson2003applying","Jackson, Cath and Smith, Andrew and Conner, Mark","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"273","considerMyself"," ‘I see myself as a physically active person’ ","jackson2003applying","Jackson, Cath and Smith, Andrew and Conner, Mark","Applying an extended version of the theory of planned behaviour to physical activity","2003","considerMyself"
"290","considerMyself","“I consider myself an energy-saver”","pakpour2014household","Pakpour, Amir H and Zeidi, Isa Mohammadi and Emamjomeh, Mohammad Mahdi and Asefzadeh, Saeed and Pearson, Heidi","Household waste behaviours among a community sample in Iran: An application of the theory of planned behaviour","2014","considerMyself"
"307","considerMyself","“I see myself to be a healthy/fruit/vegetable eater.” ","jenkins2015motivating","JENKINS, Amy","Motivating Fruit and Vegetable Consumption Using Self-Identity","2015","considerMyself"
"335","considerMyself","“I see myself as sporty person who participates in sport at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to investigate the antecedents of physical activity participation among Saudi adolescents","2010","considerMyself"
"338","considerMyself"," “I see myself as a physically active person who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time” ","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to investigate the antecedents of physical activity participation among Saudi adolescents","2010","considerMyself"
"23","considerMyself","“The idea of participating in the [target behavior] to commercialize my research…” Item 3: “…fits well into the image that I have of myself and my scientific work”","NA","Obschonka, Martin and Silbereisen, Rainer K. and Cantner, Uwe and Goethner, Maximilian","Entrepreneurial self-identity: Predictors and effects within the theory of planned behavior framework.","2015/12//","image"
"34","considerMyself"," My consumption is identical with my image. ","NA","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014/05//","image"
"1","considerMyself","“I think of myself as a drinker.”","NA","Haydon, Helen M. and Obst, Patricia L. and Lewis, Ioni","Examining women's alcohol consumption: The theory of planned behavior and self-identity.","2018/01//","selfAs"
"4","considerMyself"," “I think of myself as fun because I have a few drinks.”","NA","Haydon, Helen M. and Obst, Patricia L. and Lewis, Ioni","Examining women's alcohol consumption: The theory of planned behavior and self-identity.","2018/01//","selfAs"
"5","considerMyself","‘I think of myself as an environmentally-friendly consumer","NA","Carfora, V. and Caso, D. and Sparks, P. and Conner, M.","Moderating effects of pro-environmental self-identity on pro-environmental intentions and behaviour: A multi-behaviour study.","2017/11//","selfAs"
"9","considerMyself","I think of myself as an ethical shopper","NA","O'Connor, Erin L. and Sims, Lauren and White, Katherine M.","Ethical food choices: Examining people’s Fair Trade purchasing decisions.","2017/09//","selfAs"
"12","considerMyself","“I think of myself as a healthy eater” ","NA","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016/11/01/","selfAs"
"13","considerMyself"," “I think of myself as a person who is interested in eating healthy” ","NA","Carfora, V. and Caso, D. and Conner, M.","The role of self-identity in predicting fruit and vegetable intake.","2016/11/01/","selfAs"
"27","considerMyself"," ‘I think of myself as an ethical person’","NA","Peluso, Alessandro M.","Psychological drivers in the adoption of morally controversial innovations: The moderating role of ethical self-identity.","2015/07//","selfAs"
"42","considerMyself"," I think of myself as an ethical consumer","NA","Dowd, Kylie and Burke, Karena J.","The influence of ethical values and food choice motivations on intentions to purchase sustainably sourced foods.","2013/10/01/","selfAs"
"43","considerMyself","“I like to think of myself as someone with environmental concern” ","NA","Barata, Raquel and Castro, Paula","'I feel recycling matters… sometimes': The negative influence of ambivalence on waste separation among teenagers.","2013/09//","selfAs"
"69","considerMyself"," I like to think of myself as someone who... (...drink[ing] more than 8 units on one occasion...)","NA","Gardner, Benjamin and de Bruijn, Gert-Jan and Lally, Phillippa","Habit, identity, and repetitive action: A prospective study of binge-drinking in UK students.","2012/09//","selfAs"
"74","considerMyself","“I think of myself as a green consumer,” ","NA","Dean, Moira and Raats, Monique M. and Shepherd, Richard","The role of self-identity, past behavior, and their interaction in predicting intention to purchase fresh and processed organic food.","2012/03//","selfAs"
"86","considerMyself"," “Thinking of myself as a student enrolled in PYB110, it is not important for me to . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] ” ","NA","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011/06//","selfAs"
"94","considerMyself","‘I think of myself as an environmentally-friendly consumer’, ","NA","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010/09//","selfAs"
"111","considerMyself","‘‘I think of myself as an environmental activist’’ ","NA","Fielding, Kelly S. and McDonald, Rachel and Louis, Winnifred R.","Theory of planned behaviour, identity and intentions to engage in environmental activism.","2008/12//","selfAs"
"121","considerMyself"," “Thinking of myself as a student enrolled in bachelor of social science (psychology), it is not important for me to attend every peer-assisted study session for 1st-year statistics this semester” ","NA","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008/08//","selfAs"
"138","considerMyself","‘‘I look at myself as a person who smokes’’ ","NA","Moan, Inger Synnøve and Rise, Jostein","Predicting smoking reduction among adolescents using an extended version of the theory of planned behaviour.","2006/12//","selfAs"
"157","considerMyself","“1 look at myself as a person who smokes,” ","NA","Moan, Inger Synnøve and Rise, Jostein","Quitting Smoking: Applying an Extended Version of the Theory of Planned Behavior to Predict Intention and Behavior.","2005///","selfAs"
"159","considerMyself"," “I first and foremost look at myself as a nonsmoker.”","NA","Moan, Inger Synnøve and Rise, Jostein","Quitting Smoking: Applying an Extended Version of the Theory of Planned Behavior to Predict Intention and Behavior.","2005///","selfAs"
"161","considerMyself","‘I like to think of myself as someone who always thinks carefully about how to cross the road’ ","NA","Evans, Daphne and Norman, Paul","Predicting adolescent pedestrians' road-crossing intentions: An application and extension of the Theory of Planned Behaviour.","2003/05//","selfAs"
"162","considerMyself"," ‘I like to think of myself as a careful pedestrian’","NA","Evans, Daphne and Norman, Paul","Predicting adolescent pedestrians' road-crossing intentions: An application and extension of the Theory of Planned Behaviour.","2003/05//","selfAs"
"173","considerMyself","""I think of myself as someone who is sexually liberated."" ","NA","Conner, Mark and Flesch, Dina","Having casual sex: Additive and interactive effects of alcohol and condom availability on the determinants of intentions.","2001/01//","selfAs"
"174","considerMyself"," ""I think of myself as someone who is broadminded with regards to casual sex.""","NA","Conner, Mark and Flesch, Dina","Having casual sex: Additive and interactive effects of alcohol and condom availability on the determinants of intentions.","2001/01//","selfAs"
"175","considerMyself","“I look at myself as a person who eats healthy food""","NA","Åstrøm, Anne Nordrehaug and Rise, Jostein","Young adults' intention to eat healthy food: Extending the theory of planned behaviour.","2001///","selfAs"
"187","considerMyself","`I think of myself as a ``healthy eater'' ","NA","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999/07//Jul-Aug, 1999","selfAs"
"190","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating'","NA","Armitage, Christopher J. and Conner, Mark","Predictive validity of the theory of planned behaviour: The role of questionnaire format and social desirability.","1999/07//Jul-Aug, 1999","selfAs"
"191","considerMyself","I think of myself as a cannabis/ marijuana user’ ","NA","Conner, Mark and McMillan, Brian","Interaction effects in the theory of planned behavior: Studying cannabis use.","1999/06//","selfAs"
"195","considerMyself","`I think of myself as a healthy eater' ","NA","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999/06//","selfAs"
"198","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating'","NA","Armitage, Christopher J. and Conner, Mark and Norman, Paul","Differential effects of mood on information processing: Evidence from the theories of reasoned action and planned behaviour.","1999/06//","selfAs"
"199","considerMyself","`I think of myself as a `` healthy eater ’’ ’ ","NA","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999/03//","selfAs"
"202","considerMyself"," `I think of myself as someone who enjoys the pleasures of eating","NA","Armitage, Christopher J. and Conner, Mark","The theory of planned behaviour: Assessment of predictive validity and 'perceived control'.","1999/03//","selfAs"
"203","considerMyself","“I think of myself as a healthy eater” ","NA","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999/01//","selfAs"
"206","considerMyself"," “I think of myself as someone who enjoys the pleasures of eating.”","NA","Armitage, Christopher J. and Conner, Mark","Distinguishing perceptions of control from self-efficacy: Predicting consumption of a low-fat diet using the theory of planned behavior.","1999/01//","selfAs"
"209","considerMyself"," “I think of myself as someone who generally thinks carefully about the health consequences of my food choices” ","NA","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998/08//","selfAs"
"210","considerMyself"," “I think of myself as a health-conscious person”","NA","Sparks, Paul and Guthrie, Carol A.","Self-identity and the theory of planned behavior: A useful addition or an unhelpful artifice?","1998/08//","selfAs"
"212","considerMyself"," ""I think of myself as someone who enjoys the pleasures of eating""","NA","Sparks, Paul and Shepherd, Richard and Wieringa, Nicole and Zimmermanns, Nicole","Perceived behavioural control, unrealistic optimism and dietary change: An exploratory study,.","1995/06//","selfAs"
"220","considerMyself","I think of myself as a 'health-conscious consumer ","NA","Sparks, Paul and Shepherd, Richard","Self-identity and the theory of planned behavior: Assessing the role of identification with 'green consumerism.'","1992/12//","selfAs"
"221","considerMyself"," I think of myself as a 'green consumer' ","NA","Sparks, Paul and Shepherd, Richard","Self-identity and the theory of planned behavior: Assessing the role of identification with 'green consumerism.'","1992/12//","selfAs"
"223","considerMyself","""Generally speaking, do you usually think of yourself as a Republican, a Democrat, an independent, or what?""","NA","Granberg, Donald and Holmberg, Sören","The intention-behavior relationship among U.S. and Swedish voters.","1990/03//","selfAs"
"229","considerMyself","“I think of myself as a drinker.” ","haydon2018examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2018","selfAs"
"232","considerMyself"," “I think of myself as fun because I have a few drinks.”","haydon2018examining","Haydon, Helen M and Obst, Patricia L and Lewis, Ioni","Examining Women's Alcohol Consumption: The Theory of Planned Behavior and Self-Identity","2018","selfAs"
"237","considerMyself"," I think of myself as someone who generally thinks carefully about the health consequences of dietary supplement use ","kiefer2008intention","Kiefer, David J","Intention to Use Dietary Supplements: The Role of Self-Identity and Past Behavior in the Theory of Planned Behavior","2008","selfAs"
"247","considerMyself"," “I think of myself as someone who cares about his dental health”","dumitrescu2013predicting","Dumitrescu, Alexandrina L and Du{\c{t}}{\u{a}}, Carmen and Dogaru, Carmen Beatrice and Manolescu, Bogdan","Predicting Undergraduates' Intentions to Improve Oral Health Behaviors: The Importance of Self--Identity--A Pilot Study","2013","selfAs"
"248","considerMyself","""I regard myself as a person preoccupied with always being in expensive and high quality clothing"" ","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","selfAs"
"250","considerMyself"," ""I think of myself as a trendy person""","puntoni2001self","Puntoni, Stefano","Self-identity and purchase intention: an extension of the theory of planned behaviour","2001","selfAs"
"251","considerMyself","“I think of my self as a young enterpreneur” ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"252","considerMyself"," “I think of my self as a optimist person” ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"253","considerMyself"," “I think of my self as a liable person ","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"254","considerMyself"," “I think of my self as a honest person”","patiro2016theory","Patiro, Shine Pintor S and Budiyanti, Hety","The Theory of Planned Behavior, Past Behavior, Situational Factors, and Self-Identity Factors Drive Indonesian Enterpreneurs to Be Indebtedness","2016","selfAs"
"275","considerMyself","“I think of myself as someone who eat healthy ”","bilim2015determinants","B{\.I}L{\.I}M, {\.I}BRAH{\.I}M","DETERMINANTS OF HEALTHY EATING BEHAVIOURS AMONG MIDDLE SCHOOL STUDENTS: THE THEORY OF PLANNED BEHAVIOUR APPROACH","2015","selfAs"
"278","considerMyself"," “I think of myself as a green food consumer” ","wang2016psychological","Wang, Yao-Fen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","selfAs"
"284","considerMyself","“I think of myself as a healthy eater ","carfora2016explaining","Carfora, Valentina","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach","2016","selfAs"
"285","considerMyself"," “I think of myself as someone who is concern with healthy eating” ","carfora2016explaining","Carfora, Valentina","Explaining and promoting healthy food choice: A Theory of Planned Behaviour approach","2016","selfAs"
"301","considerMyself","""I think of myself as an water conservation person"" ","yazdanpanah2011investigating","Yazdanpanah, Masoud and Hayati, Dariush and Zamani, Gholam Hossein","INVESTIGATING AGRICULTURAL PROFESSIONALS’INTENTIONS AND BEHAVIOURS TOWARDS WATER CONSERVATION: USING A MODIFIED THEORY OF PLANNED BEHAVIOUR","2011","selfAs"
"304","considerMyself","I think of myself as a water conservation person ","yazdanpanah2016investigating","Yazdanpanah, Masoud and Forouzani, Masoumeh and Abdeshahi, Abbas and Jafari, Ahmad","Investigating the effect of moral norm and self-identity on the intention toward water conservation among Iranian young adults","2016","selfAs"
"318","considerMyself"," I think of myself as a person of great interest in green products ","ham2015predicting","Ham, Marija and {\v{S}}timac, Helena and Pap, Ana and Oec, Mag","Predicting the intention to purchase green food in Croatia--the influence of percieved self-identity","2015","selfAs"
"332","considerMyself","I think of myself as a philanthropist. ","dennis2009nature","Dennis, Bryan S and Buchholtz, Ann K and Butts, Marcus M","The nature of giving: A theory of planned behavior examination of corporate philanthropy","2009","selfAs"
"339","considerMyself"," “I think of myself as someone who exercises vigorously for at least 30 minutes 3 times per week over the next five weeks during leisure time”.","alselaimi2010using","Alselaimi, Abdullah","Using the Theory of Planned Behaviour to investigate the antecedents of physical activity participation among Saudi adolescents","2010","selfAs"
"85","excluded","“Generally speaking, I think it is appropriate for me as a student enrolled in PYB110 to . . .[attending peer-assisted study sessions for <U+FB01>rst-year statistics] ” ","NA","White, Katherine M. and O'Connor, Erin L. and Hamilton, Kyra","In-group and role identity influences on the initiation and maintenance of students' voluntary attendance at peer study sessions for statistics.","2011/06//","appropriateForMe"
"120","excluded"," “Generally speaking, I think it is appropriate for me as a student enrolled in bachelor of social science (psychology) to attend every peer-assisted study session for 1st-year statistics this semester” ","NA","White, Katherine M. and Thomas, Ian and Johnston, Kim L. and Hyde, Melissa K.","Predicting attendance at peer-assisted study sessions for statistics: Role identity and the theory of planned behavior.","2008/08//","appropriateForMe"
"276","excluded","“I firmly believe in the idea of GFBs”","wang2016psychological","Wang, Yao-Fen and Wang, Chung-Jen","Do psychological factors affect green food and beverage behaviour? An application of the theory of planned behaviour","2016","believeIn"
"35","excluded"," My consumption is identical with my characteristics.","NA","Oh, Jong-Chul and Yoon, Sung-Joon","Theory-based approach to factors affecting ethical consumption.","2014/05//","characteristics"
"260","excluded"," I never read the list of ingredients on the label before using a new personal care product. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","domainSpecific"
"261","excluded"," I always read the list of ingredients on the label before using a new personal care product. ","holst2012application","Holst, Anne and Iversen, Julie Maria","An application of a revised theory of planned behavior","2012","domainSpecific"
"96","excluded"," ‘I would be embarrassed to be seen as having an environmentallyfriendly lifestyle’ ","NA","Whitmarsh, Lorraine and O'Neill, Saffron","Green identity, green living? The role of pro-environmental self-identity in determining consistency across diverse pro-environmental behaviours.","2010/09//","embarrassed"
"60","excluded","[..] engaging in sufficient exercise was something that [..] fitted the way they wanted to live, ","NA","de Bruijn, Gert-Jan and Verkooijen, Kirsten and de Vries, Nanne K. and van den Putte, Bas","Antecedents of self identity and consequences for action control: An application of the theory of planned behaviour in the exercise domain.","2012/11//","howIWantToLive"
